timestamp,symbol,timeframe,type,price,rsi,ema21,ema50,score,price_from_breakout,ema_alignment,signal_age,log_type,notes,is_1m_hint
0,CROSS-USDT,5m,long,0.23979,71.05,0.230953,0.227935,4,1.95,0.00126,0,valid,🟢 Confirmation: Breakout + EMA trend + RSI > 45,False
0,CROSS-USDT,15m,long,0.23928,79.56,0.227996,0.226611,4,1.54,0.00163,0,valid,🟢 Confirmation: Breakout + EMA trend + RSI > 45,False
0,CROSS-USDT,1h,long,0.23928,59.86,0.224255,0.209947,4,2.25,0.00237,0,valid,🟢 Confirmation: Breakout + EMA trend + RSI > 45,False
0,DMC-USDT,5m,long,0.005018,67.46,0.004916,0.004886,4,-0.32,2e-05,0,valid,🟢 Confirmation: Breakout + EMA trend + RSI > 45,False
0,DMC-USDT,15m,long,0.005004,63.37,0.004886,0.004854,3,-0.75,2e-05,0,valid,🟦 Anticipation: EMA trend + RSI > 60 + Volume Spike,False
0,DMC-USDT,1h,long,0.005004,55.56,0.004847,0.004887,4,1.48,2e-05,0,valid,🟢 Confirmation: Breakout + EMA trend + RSI > 45,False
0,ETHBTC-USDT,15m,long,0.028312,50.95,0.028304,0.02799,4,-0.17,1e-05,0,valid,🟢 Confirmation: Breakout + EMA trend + RSI > 45,False
0,AGT-USDT,15m,long,0.006509,60.96,0.006482,0.006471,3,-0.82,1e-05,0,valid,🟦 Anticipation: EMA trend + RSI > 60 + Volume Spike,False
0,JELLYJELLY-USDT,1h,long,0.023927,66.89,0.023585,0.023348,3,-1.0,4e-05,0,valid,🟦 Anticipation: EMA trend + RSI > 60 + Volume Spike,False
0,AVAAI-USDT,15m,long,0.05496,69.39,0.053946,0.054205,3,-1.24,0.00021,0,valid,🟦 Anticipation: EMA trend + RSI > 60 + Volume Spike,False
0,AVAAI-USDT,1h,long,0.05496,47.36,0.05397,0.051374,4,1.12,7e-05,0,valid,🟢 Confirmation: Breakout + EMA trend + RSI > 45,False
0,1000CHEEMS-USDT,5m,long,0.0015252,63.75,0.00151,0.001486,3,-1.19,0.0,0,valid,🟦 Anticipation: EMA trend + RSI > 60 + Volume Spike,False
